created_at,user.screen_name,lang,text,sentiment
Wed Dec 11 23:59:00 +0000 2019,HealthDouglasCo,en,"With more than a thousand cases in the county, the #flu season is here. Soooo, you just might want to think about g… https://t.co/7whiTR8ba3",positive
Wed Dec 11 23:44:29 +0000 2019,Vi_VIorg,en,Proud to have implemented  #PEDSIDEA real-time digital #flu surveillance projects in Louisiana for the 3rd year now… https://t.co/r0ghBIxI2h,positive
Wed Dec 11 23:42:46 +0000 2019,HaikuHare,en,"@CSmallsWright Take care of yourself.
You’re the only You you have.
You only live once.

#flu #haiku https://t.co/V2DOB5nyJa",positive
Wed Dec 11 23:41:00 +0000 2019,Leese72,en,Frankly I could do without all the vomiting. 😭 #flu,neutral
Wed Dec 11 23:40:52 +0000 2019,lindaongwkrn,en,It's not too late to get your FREE flu shot! https://t.co/qEf3EfQS1e @wkrn #flu,positive
Wed Dec 11 23:40:19 +0000 2019,TheBrunetteMilf,en,Current mood be like #pissedoff and #sleepy but poxy #flu is not letting up https://t.co/I24QLWoGxT,neutral
Wed Dec 11 23:33:09 +0000 2019,QARACG,en,"#RT @FDADeviceInfo: RT @CDCgov: If you have #heartdisease, it is important to make healthy lifestyle choices every… https://t.co/O2UUJlp1YA",positive
Wed Dec 11 23:30:25 +0000 2019,KPBSnews,en,County health officials announced Wednesday that this #flu season's death toll has reached seven with the death of… https://t.co/AxfX2adwQE,neutral
Wed Dec 11 23:27:26 +0000 2019,ViecBuonBan,en,Thien Thao Red - Medicated Oil $1.49 #MedicatedOil #Colds #Flu #Cough #Vietnam #Shopping Please RT!… https://t.co/eZISRSCIze,neutral
Wed Dec 11 23:02:17 +0000 2019,OneHealthyBos,en,"By and large, the most effective preventative measure for influenza is the flu shot. Learn more about fighting back… https://t.co/0y5F4RCJPI",positive
Wed Dec 11 23:00:07 +0000 2019,AzCHealthPlan,en,"#Flu can make some chronic medical conditions worse, even if they are well managed. CDC recommends flu vaccination… https://t.co/D4WFr8MSDv",negative
Wed Dec 11 23:00:01 +0000 2019,MDEdgeTweets,en,37% of Americans don’t plan on getting a #flu shot this season. https://t.co/BnGf6R6vXk https://t.co/aETkGjxzTx,neutral
Wed Dec 11 22:54:33 +0000 2019,gonzalezloumiet,en,An outstanding magazine by our partners at @APHL focused on #Interoperability #PublicHealth #AIMS #Laboratory… https://t.co/mTa3W4Ji95,positive
Wed Dec 11 22:46:16 +0000 2019,MirandaEvaKH,en,sore throat running nose and nonstop coughing...im really not feeling well...i cant work on these condition and tha… https://t.co/Ub56hyJLUJ,negative
Wed Dec 11 22:40:32 +0000 2019,gksmith_73,en,"Who the fuck got me sick? Cause if I find you, you’re dead. #flu #bronchitis #nosleep #notcool",negative
Wed Dec 11 22:30:22 +0000 2019,NFIDvaccines,en,Spread cheer...not #flu! #GetVaccinated to help #FightFlu https://t.co/ZgRVaB1iBg #GiftOfHealth https://t.co/OTerI0bAln,neutral
Wed Dec 11 22:22:45 +0000 2019,PrestonGreyXXX,en,@realDonaldTrump is a murderer on top of everything else he has committed to his list of crimes while in… https://t.co/tSbVjsWXTR,positive
Wed Dec 11 22:15:32 +0000 2019,ACHI_Net,en,"Since late September, 2,400 positive #flu tests and seven flu-related deaths in Arkansas have been reported to… https://t.co/hnQFD2erF8",negative
Wed Dec 11 22:12:17 +0000 2019,XavierHugonet,en,Children start dying from the flu in Donald Trump’s concentration camps. His admin refuse the vaccine. If it’s not… https://t.co/fnRAHVuAz4,neutral
